20-05-04 16:15:01    Log Started
20-05-04 16:15:01 Opened /home/kader_b/int2/soldat.ini
20-05-04 16:15:01 Creating network interface.
20-05-04 16:15:01 Loading Animations.
20-05-04 16:15:01 Loading Lobby Servers List
20-05-04 16:15:01 Loading Maps List
20-05-04 16:15:01 Loading Map.
20-05-04 16:15:01 Creating Weapons.
20-05-04 16:15:01 Starting Game Server.
20-05-04 16:15:01 TCP/IP File Server started
20-05-04 16:15:25  Net - !F. YnGwi3 connected 4-5-20 16:15:25
20-05-04 16:15:34  Net - !F. YnGwi3 disconnected 4-5-20 16:15:34
20-05-04 16:45:01 TCP/IP File Server started
20-05-04 17:15:01 TCP/IP File Server started
20-05-04 17:45:01 TCP/IP File Server started
20-05-04 18:15:01 TCP/IP File Server started
20-05-04 18:45:01 TCP/IP File Server started
20-05-04 19:15:01 TCP/IP File Server started
20-05-04 19:45:01 TCP/IP File Server started
20-05-04 20:15:01 TCP/IP File Server started
20-05-04 20:45:01 TCP/IP File Server started
20-05-04 21:15:01 TCP/IP File Server started
20-05-04 21:45:01 TCP/IP File Server started
20-05-04 22:15:01 TCP/IP File Server started
20-05-04 22:45:01 TCP/IP File Server started
20-05-04 23:15:01 TCP/IP File Server started
20-05-04 23:45:01 TCP/IP File Server started
20-05-05 00:15:01 TCP/IP File Server started
20-05-05 00:17:48  Net - RtP| Shuter connected 5-5-20 00:17:48
20-05-05 00:18:22  Net - RtP| Shuter disconnected 5-5-20 00:18:22
20-05-05 00:45:01 TCP/IP File Server started
20-05-05 01:15:01 TCP/IP File Server started
20-05-05 01:45:01 TCP/IP File Server started
20-05-05 02:15:01 TCP/IP File Server started
20-05-05 02:45:01 TCP/IP File Server started
20-05-05 03:15:01 TCP/IP File Server started
20-05-05 03:45:01 TCP/IP File Server started
20-05-05 04:15:01 TCP/IP File Server started
20-05-05 04:45:01 TCP/IP File Server started
20-05-05 05:15:01 TCP/IP File Server started
20-05-05 05:45:01 TCP/IP File Server started
