20-05-24 19:50:01    Log Started
20-05-24 19:50:01 Opened /home/kader_b/int2/soldat.ini
20-05-24 19:50:01 Creating network interface.
20-05-24 19:50:01 Loading Animations.
20-05-24 19:50:01 Loading Lobby Servers List
20-05-24 19:50:01 Loading Maps List
20-05-24 19:50:01 Loading Map.
20-05-24 19:50:01 Creating Weapons.
20-05-24 19:50:01 Starting Game Server.
20-05-24 19:50:01 TCP/IP File Server started
20-05-24 20:20:01 TCP/IP File Server started
20-05-24 20:50:02 TCP/IP File Server started
20-05-24 21:20:02 TCP/IP File Server started
20-05-24 21:50:02 TCP/IP File Server started
20-05-24 22:20:02 TCP/IP File Server started
20-05-24 22:50:02 TCP/IP File Server started
20-05-24 23:20:02 TCP/IP File Server started
20-05-24 23:50:02 TCP/IP File Server started
20-05-25 00:20:02 TCP/IP File Server started
20-05-25 00:50:01 TCP/IP File Server started
20-05-25 01:20:01 TCP/IP File Server started
20-05-25 01:50:02 TCP/IP File Server started
20-05-25 02:20:02 TCP/IP File Server started
20-05-25 02:50:02 TCP/IP File Server started
20-05-25 03:20:02 TCP/IP File Server started
20-05-25 03:50:02 TCP/IP File Server started
20-05-25 04:20:02 TCP/IP File Server started
20-05-25 04:50:02 TCP/IP File Server started
20-05-25 05:20:01 TCP/IP File Server started
20-05-25 05:50:02 TCP/IP File Server started
20-05-25 06:20:02 TCP/IP File Server started
20-05-25 06:50:02 TCP/IP File Server started
20-05-25 07:20:01 TCP/IP File Server started
20-05-25 07:50:01 TCP/IP File Server started
20-05-25 08:20:01 TCP/IP File Server started
20-05-25 08:50:01 TCP/IP File Server started
20-05-25 09:20:01 TCP/IP File Server started
20-05-25 09:50:02 TCP/IP File Server started
20-05-25 10:20:02 TCP/IP File Server started
20-05-25 10:50:01 TCP/IP File Server started
20-05-25 11:20:02 TCP/IP File Server started
20-05-25 11:50:02 TCP/IP File Server started
20-05-25 12:20:02 TCP/IP File Server started
20-05-25 12:50:02 TCP/IP File Server started
